Age,Education ,Marital Status,Annual Income (k$),Spending Score (1-100),Cluster
19,3,1,15,39,2
21,2,2,15,81,2
20,2,1,16,6,4
23,3,3,16,77,2
31,5,1,17,40,4
22,2,1,17,76,2
35,6,1,18,6,0
23,3,3,18,94,2
64,5,2,19,3,0
30,2,2,19,72,2
67,5,3,19,14,0
35,6,1,19,99,2
58,0,2,20,15,0
24,2,3,20,77,2
37,2,1,20,13,0
22,6,3,20,79,2
35,4,2,21,35,0
20,6,1,21,66,2
52,3,1,23,29,0
35,2,1,23,98,2
35,1,0,24,35,4
25,2,1,24,73,2
46,3,1,25,5,0
31,6,2,25,73,2
54,6,1,28,14,3
29,2,2,28,82,2
45,3,3,28,32,0
35,6,1,28,61,4
40,5,2,29,31,0
23,3,1,29,87,2
60,6,1,30,4,3
21,5,1,30,73,2
53,2,1,33,4,0
18,0,1,33,92,2
49,2,1,33,14,0
21,0,2,33,81,2
42,2,1,34,17,4
30,3,1,34,73,2
36,2,3,37,26,0
20,1,1,37,75,2
65,2,2,38,35,0
24,6,1,38,92,2
48,0,2,39,36,0
31,3,1,39,61,2
49,2,2,39,28,0
24,5,2,39,65,2
50,1,1,40,55,4
27,1,1,40,47,2
29,3,1,40,42,4
31,0,2,40,42,2
49,6,1,42,52,4
33,2,1,42,60,2
31,3,1,43,54,4
59,6,1,43,60,3
50,2,1,43,45,4
47,2,3,43,41,0
51,2,2,44,50,0
69,5,1,44,46,3
27,2,1,46,51,2
53,3,2,46,46,0
70,6,1,46,56,3
19,2,1,46,55,2
67,3,0,47,52,3
54,4,2,47,59,0
63,3,2,48,51,0
18,5,2,48,59,2
43,0,1,48,50,4
68,5,2,48,48,0
19,2,1,48,59,2
32,1,1,48,47,2
70,2,2,49,55,0
47,2,1,49,42,4
60,2,3,50,49,0
60,5,1,50,56,3
59,0,2,54,47,0
26,2,2,54,54,2
45,2,2,54,53,4
40,5,2,54,48,4
23,2,0,54,52,1
49,2,1,54,42,4
57,2,1,54,51,4
38,6,3,54,55,0
67,6,1,54,41,3
46,2,1,54,44,4
21,2,0,54,57,1
48,2,1,54,46,4
55,3,2,57,58,0
22,5,2,57,55,2
34,3,2,58,60,2
50,6,1,58,46,3
68,3,2,59,55,0
18,3,2,59,41,2
48,2,2,60,49,4
40,2,2,60,40,4
32,6,1,60,42,4
24,2,1,60,52,1
47,2,1,60,47,4
27,1,1,60,50,1
48,0,1,61,42,4
20,6,1,61,49,1
23,0,2,62,41,2
49,6,1,62,48,3
67,2,1,62,59,3
26,2,2,62,55,2
49,3,3,62,56,0
21,4,1,62,42,1
66,4,2,63,50,0
54,5,1,63,46,3
68,6,1,63,43,3
66,6,0,63,48,3
65,2,1,63,52,3
19,6,1,63,54,1
38,3,0,64,42,1
19,5,1,64,46,1
18,2,2,65,48,2
19,2,2,65,50,2
63,3,3,65,43,0
49,3,2,65,59,4
51,1,1,67,43,4
50,3,1,67,57,4
27,2,2,67,56,2
38,1,1,67,40,4
40,3,1,69,58,4
39,3,2,69,91,2
23,0,2,70,29,2
31,2,2,70,77,2
43,2,2,71,35,4
40,2,1,71,95,1
59,3,2,71,11,0
38,5,3,71,75,2
47,2,1,71,9,3
39,6,1,71,75,1
25,2,1,72,34,1
31,2,1,72,71,1
20,1,2,73,5,4
29,2,2,73,88,2
44,3,0,73,7,3
32,0,0,73,73,1
19,0,1,74,10,1
35,4,2,74,72,2
57,3,1,75,5,3
32,6,2,75,93,2
28,2,1,76,40,1
32,2,2,76,87,2
25,0,2,77,12,4
28,5,1,77,97,1
48,2,2,77,36,4
32,2,1,77,74,1
34,2,1,78,22,4
34,3,1,78,90,1
43,3,2,78,17,4
39,2,1,78,88,1
44,2,2,78,20,4
38,5,2,78,76,4
47,0,1,78,16,3
27,6,1,78,89,1
37,3,2,78,1,4
30,1,1,78,78,1
34,5,1,78,1,3
30,2,0,78,73,1
56,3,1,79,35,3
29,0,2,79,83,2
19,5,1,81,5,3
31,6,0,81,93,1
50,5,1,85,26,3
36,5,1,85,75,1
42,5,1,86,20,3
33,5,1,86,95,1
36,2,2,87,27,4
32,3,1,87,63,1
40,5,0,87,13,3
28,3,1,87,75,1
36,6,1,87,10,3
36,3,1,87,92,1
52,3,1,88,13,3
30,2,0,88,86,1
58,5,1,88,15,3
27,2,1,88,69,1
59,5,2,93,14,3
35,5,1,93,90,1
37,5,1,97,32,3
32,2,1,97,86,1
46,5,1,98,15,3
29,2,1,98,88,1
41,2,1,99,39,1
30,5,2,99,97,1
54,4,2,101,24,3
28,0,2,101,68,2
41,3,1,103,17,3
36,4,1,103,85,1
34,2,1,103,23,1
32,2,3,103,69,2
33,2,1,113,8,3
38,1,1,113,91,1
47,4,1,120,16,3
35,3,1,120,79,1
45,3,3,126,28,4
32,5,1,126,74,1
32,3,1,137,18,1
30,0,1,137,83,1
